,Meta Data,Time Series (5min)
1. Information,"Intraday (5min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2024-03-15 19:55:00,
4. Interval,5min,
5. Output Size,Compact,
6. Time Zone,US/Eastern,
2024-03-15 19:55:00,,"{'1. open': '415.4500', '2. high': '415.6000', '3. low': '415.1300', '4. close': '415.3750', '5. volume': '1786'}"
2024-03-15 19:50:00,,"{'1. open': '415.6400', '2. high': '415.8000', '3. low': '415.3800', '4. close': '415.5000', '5. volume': '1334'}"
2024-03-15 19:45:00,,"{'1. open': '415.7850', '2. high': '415.8200', '3. low': '415.6000', '4. close': '415.7000', '5. volume': '1386'}"
2024-03-15 19:40:00,,"{'1. open': '415.6100', '2. high': '415.8200', '3. low': '415.6000', '4. close': '415.7850', '5. volume': '667'}"
2024-03-15 19:35:00,,"{'1. open': '415.7600', '2. high': '415.7900', '3. low': '415.6000', '4. close': '415.6950', '5. volume': '398'}"
2024-03-15 19:30:00,,"{'1. open': '415.7000', '2. high': '415.8100', '3. low': '415.6000', '4. close': '415.7450', '5. volume': '685'}"
2024-03-15 19:25:00,,"{'1. open': '415.5500', '2. high': '415.8300', '3. low': '415.5500', '4. close': '415.7050', '5. volume': '332'}"
2024-03-15 19:20:00,,"{'1. open': '415.6500', '2. high': '415.8500', '3. low': '415.3800', '4. close': '415.6900', '5. volume': '292'}"
2024-03-15 19:15:00,,"{'1. open': '415.5150', '2. high': '415.8500', '3. low': '415.3800', '4. close': '415.6150', '5. volume': '468'}"
2024-03-15 19:10:00,,"{'1. open': '415.5400', '2. high': '415.6500', '3. low': '415.3800', '4. close': '415.5150', '5. volume': '3226'}"
2024-03-15 19:05:00,,"{'1. open': '415.3400', '2. high': '415.6500', '3. low': '415.2700', '4. close': '415.5150', '5. volume': '1945'}"
2024-03-15 19:00:00,,"{'1. open': '415.2900', '2. high': '415.5700', '3. low': '415.1100', '4. close': '415.3800', '5. volume': '467'}"
2024-03-15 18:55:00,,"{'1. open': '415.0000', '2. high': '415.4600', '3. low': '415.0000', '4. close': '415.2850', '5. volume': '599'}"
2024-03-15 18:50:00,,"{'1. open': '415.3600', '2. high': '415.4600', '3. low': '415.0000', '4. close': '415.0100', '5. volume': '8643'}"
2024-03-15 18:45:00,,"{'1. open': '415.4400', '2. high': '415.7300', '3. low': '415.3000', '4. close': '415.3000', '5. volume': '2985'}"
2024-03-15 18:40:00,,"{'1. open': '415.4200', '2. high': '415.8200', '3. low': '415.4200', '4. close': '415.4400', '5. volume': '377'}"
2024-03-15 18:35:00,,"{'1. open': '415.7000', '2. high': '415.8900', '3. low': '415.4250', '4. close': '415.7000', '5. volume': '230'}"
2024-03-15 18:30:00,,"{'1. open': '415.6800', '2. high': '415.8900', '3. low': '415.4100', '4. close': '415.6500', '5. volume': '824'}"
2024-03-15 18:25:00,,"{'1. open': '415.8250', '2. high': '415.9900', '3. low': '415.4700', '4. close': '415.6800', '5. volume': '537'}"
2024-03-15 18:20:00,,"{'1. open': '415.4550', '2. high': '416.0000', '3. low': '415.4550', '4. close': '416.0000', '5. volume': '1558'}"
2024-03-15 18:15:00,,"{'1. open': '415.6100', '2. high': '415.6500', '3. low': '415.4100', '4. close': '415.4550', '5. volume': '992'}"
2024-03-15 18:10:00,,"{'1. open': '415.5500', '2. high': '415.6100', '3. low': '415.5000', '4. close': '415.5500', '5. volume': '917'}"
2024-03-15 18:05:00,,"{'1. open': '415.6500', '2. high': '415.6500', '3. low': '415.4100', '4. close': '415.5000', '5. volume': '481'}"
2024-03-15 18:00:00,,"{'1. open': '415.5300', '2. high': '415.6500', '3. low': '415.4100', '4. close': '415.5300', '5. volume': '388'}"
2024-03-15 17:55:00,,"{'1. open': '415.6500', '2. high': '415.6500', '3. low': '415.4200', '4. close': '415.6400', '5. volume': '291'}"
2024-03-15 17:50:00,,"{'1. open': '415.6900', '2. high': '416.4200', '3. low': '415.6000', '4. close': '415.6500', '5. volume': '31955'}"
2024-03-15 17:45:00,,"{'1. open': '415.7400', '2. high': '416.1000', '3. low': '415.6000', '4. close': '415.7300', '5. volume': '193'}"
2024-03-15 17:40:00,,"{'1. open': '415.6500', '2. high': '415.7500', '3. low': '415.6000', '4. close': '415.6750', '5. volume': '90'}"
2024-03-15 17:35:00,,"{'1. open': '415.6500', '2. high': '415.7500', '3. low': '415.5400', '4. close': '415.6500', '5. volume': '458'}"
2024-03-15 17:30:00,,"{'1. open': '415.6900', '2. high': '416.1100', '3. low': '415.4500', '4. close': '415.5950', '5. volume': '182'}"
2024-03-15 17:25:00,,"{'1. open': '415.5000', '2. high': '416.1100', '3. low': '415.4100', '4. close': '415.6900', '5. volume': '609'}"
2024-03-15 17:20:00,,"{'1. open': '415.5400', '2. high': '415.5400', '3. low': '415.3700', '4. close': '415.4800', '5. volume': '290'}"
2024-03-15 17:15:00,,"{'1. open': '415.5850', '2. high': '416.4200', '3. low': '415.3500', '4. close': '415.5000', '5. volume': '698'}"
2024-03-15 17:10:00,,"{'1. open': '415.7900', '2. high': '415.7900', '3. low': '415.5100', '4. close': '415.5100', '5. volume': '1586'}"
2024-03-15 17:05:00,,"{'1. open': '415.5100', '2. high': '416.4200', '3. low': '303.2140', '4. close': '415.7200', '5. volume': '1232077'}"
2024-03-15 17:00:00,,"{'1. open': '415.4000', '2. high': '415.5100', '3. low': '303.2140', '4. close': '415.5100', '5. volume': '3028'}"
2024-03-15 16:55:00,,"{'1. open': '415.4650', '2. high': '415.5100', '3. low': '415.3300', '4. close': '415.4000', '5. volume': '3067'}"
2024-03-15 16:50:00,,"{'1. open': '415.5000', '2. high': '416.4200', '3. low': '415.4200', '4. close': '415.4650', '5. volume': '19392'}"
2024-03-15 16:45:00,,"{'1. open': '415.7200', '2. high': '415.9000', '3. low': '338.6700', '4. close': '415.5000', '5. volume': '6296'}"
2024-03-15 16:40:00,,"{'1. open': '415.9750', '2. high': '415.9900', '3. low': '415.5200', '4. close': '415.5300', '5. volume': '5140'}"
2024-03-15 16:35:00,,"{'1. open': '416.1000', '2. high': '416.1000', '3. low': '415.8800', '4. close': '415.9750', '5. volume': '1683'}"
2024-03-15 16:30:00,,"{'1. open': '416.2000', '2. high': '416.3300', '3. low': '416.0000', '4. close': '416.1000', '5. volume': '2653'}"
2024-03-15 16:25:00,,"{'1. open': '416.1150', '2. high': '416.5000', '3. low': '416.1150', '4. close': '416.2000', '5. volume': '7398'}"
2024-03-15 16:20:00,,"{'1. open': '416.4200', '2. high': '416.4200', '3. low': '416.0100', '4. close': '416.1150', '5. volume': '4537'}"
2024-03-15 16:15:00,,"{'1. open': '416.2700', '2. high': '416.4220', '3. low': '416.0100', '4. close': '416.1900', '5. volume': '21030'}"
2024-03-15 16:10:00,,"{'1. open': '416.0900', '2. high': '416.4270', '3. low': '416.0200', '4. close': '416.2700', '5. volume': '490720'}"
2024-03-15 16:05:00,,"{'1. open': '416.2800', '2. high': '425.1900', '3. low': '415.5000', '4. close': '416.0900', '5. volume': '1072558'}"
2024-03-15 16:00:00,,"{'1. open': '416.5400', '2. high': '416.9000', '3. low': '416.0300', '4. close': '416.2650', '5. volume': '20971289'}"
2024-03-15 15:55:00,,"{'1. open': '416.3700', '2. high': '417.2800', '3. low': '416.2300', '4. close': '416.4220', '5. volume': '1130477'}"
2024-03-15 15:50:00,,"{'1. open': '416.4900', '2. high': '416.8840', '3. low': '416.3100', '4. close': '416.3700', '5. volume': '396025'}"
2024-03-15 15:45:00,,"{'1. open': '416.2200', '2. high': '416.6700', '3. low': '416.1500', '4. close': '416.5450', '5. volume': '259530'}"
2024-03-15 15:40:00,,"{'1. open': '416.3100', '2. high': '416.4150', '3. low': '415.9700', '4. close': '416.2250', '5. volume': '216811'}"
2024-03-15 15:35:00,,"{'1. open': '416.6950', '2. high': '417.1100', '3. low': '416.2850', '4. close': '416.3400', '5. volume': '265955'}"
2024-03-15 15:30:00,,"{'1. open': '416.7500', '2. high': '416.9040', '3. low': '416.5300', '4. close': '416.7000', '5. volume': '193890'}"
2024-03-15 15:25:00,,"{'1. open': '416.3100', '2. high': '417.0300', '3. low': '416.2900', '4. close': '416.7000', '5. volume': '320269'}"
2024-03-15 15:20:00,,"{'1. open': '416.0800', '2. high': '416.3200', '3. low': '415.6900', '4. close': '416.3200', '5. volume': '202190'}"
2024-03-15 15:15:00,,"{'1. open': '416.0500', '2. high': '416.1700', '3. low': '415.8430', '4. close': '416.1100', '5. volume': '149331'}"
2024-03-15 15:10:00,,"{'1. open': '415.7700', '2. high': '416.1000', '3. low': '415.6510', '4. close': '416.0200', '5. volume': '155485'}"
2024-03-15 15:05:00,,"{'1. open': '416.4600', '2. high': '416.4840', '3. low': '415.5900', '4. close': '415.7300', '5. volume': '147556'}"
2024-03-15 15:00:00,,"{'1. open': '415.9700', '2. high': '416.4600', '3. low': '415.7900', '4. close': '416.4500', '5. volume': '137996'}"
2024-03-15 14:55:00,,"{'1. open': '415.9370', '2. high': '416.3300', '3. low': '415.7400', '4. close': '415.9550', '5. volume': '191529'}"
2024-03-15 14:50:00,,"{'1. open': '415.4000', '2. high': '415.9550', '3. low': '415.2100', '4. close': '415.9350', '5. volume': '200212'}"
2024-03-15 14:45:00,,"{'1. open': '415.6950', '2. high': '415.7440', '3. low': '415.3600', '4. close': '415.4000', '5. volume': '195952'}"
2024-03-15 14:40:00,,"{'1. open': '415.3660', '2. high': '415.9300', '3. low': '415.3600', '4. close': '415.6600', '5. volume': '210616'}"
2024-03-15 14:35:00,,"{'1. open': '415.0400', '2. high': '415.4000', '3. low': '414.8800', '4. close': '415.3800', '5. volume': '110008'}"
2024-03-15 14:30:00,,"{'1. open': '414.6100', '2. high': '415.2700', '3. low': '414.5800', '4. close': '415.0000', '5. volume': '167604'}"
2024-03-15 14:25:00,,"{'1. open': '414.4100', '2. high': '414.6400', '3. low': '414.3300', '4. close': '414.6300', '5. volume': '132364'}"
2024-03-15 14:20:00,,"{'1. open': '414.7500', '2. high': '414.9000', '3. low': '414.4100', '4. close': '414.4100', '5. volume': '243812'}"
2024-03-15 14:15:00,,"{'1. open': '414.7100', '2. high': '414.8100', '3. low': '414.4800', '4. close': '414.7500', '5. volume': '95519'}"
2024-03-15 14:10:00,,"{'1. open': '414.8150', '2. high': '414.9870', '3. low': '414.5400', '4. close': '414.6800', '5. volume': '150755'}"
2024-03-15 14:05:00,,"{'1. open': '415.3900', '2. high': '415.4600', '3. low': '414.7200', '4. close': '414.8100', '5. volume': '166535'}"
2024-03-15 14:00:00,,"{'1. open': '415.1800', '2. high': '415.4170', '3. low': '415.1200', '4. close': '415.4000', '5. volume': '227857'}"
2024-03-15 13:55:00,,"{'1. open': '414.7300', '2. high': '415.2000', '3. low': '414.7300', '4. close': '415.1500', '5. volume': '142963'}"
2024-03-15 13:50:00,,"{'1. open': '414.1600', '2. high': '414.8000', '3. low': '414.1500', '4. close': '414.7500', '5. volume': '266440'}"
2024-03-15 13:45:00,,"{'1. open': '414.5900', '2. high': '414.6700', '3. low': '414.1300', '4. close': '414.1700', '5. volume': '112161'}"
2024-03-15 13:40:00,,"{'1. open': '414.6100', '2. high': '414.8420', '3. low': '414.5180', '4. close': '414.6000', '5. volume': '112496'}"
2024-03-15 13:35:00,,"{'1. open': '414.3500', '2. high': '414.6400', '3. low': '414.2200', '4. close': '414.6170', '5. volume': '166997'}"
2024-03-15 13:30:00,,"{'1. open': '414.1100', '2. high': '414.5300', '3. low': '414.0630', '4. close': '414.3200', '5. volume': '142014'}"
2024-03-15 13:25:00,,"{'1. open': '414.4380', '2. high': '414.5800', '3. low': '413.7700', '4. close': '414.1000', '5. volume': '229212'}"
2024-03-15 13:20:00,,"{'1. open': '413.7100', '2. high': '414.4200', '3. low': '413.6600', '4. close': '414.3900', '5. volume': '157323'}"
2024-03-15 13:15:00,,"{'1. open': '413.6900', '2. high': '413.8800', '3. low': '413.5300', '4. close': '413.7000', '5. volume': '116406'}"
2024-03-15 13:10:00,,"{'1. open': '413.5900', '2. high': '413.9400', '3. low': '413.4300', '4. close': '413.7600', '5. volume': '175352'}"
2024-03-15 13:05:00,,"{'1. open': '413.1500', '2. high': '413.7600', '3. low': '413.0850', '4. close': '413.6100', '5. volume': '1714776'}"
2024-03-15 13:00:00,,"{'1. open': '413.2300', '2. high': '413.4800', '3. low': '413.0900', '4. close': '413.1600', '5. volume': '204553'}"
2024-03-15 12:55:00,,"{'1. open': '412.8500', '2. high': '413.2600', '3. low': '412.8500', '4. close': '413.2080', '5. volume': '217623'}"
2024-03-15 12:50:00,,"{'1. open': '413.5600', '2. high': '413.6300', '3. low': '412.7900', '4. close': '412.9200', '5. volume': '297283'}"
2024-03-15 12:45:00,,"{'1. open': '413.9500', '2. high': '413.9900', '3. low': '413.5200', '4. close': '413.5300', '5. volume': '211737'}"
2024-03-15 12:40:00,,"{'1. open': '414.2800', '2. high': '414.3500', '3. low': '413.7000', '4. close': '413.9400', '5. volume': '175802'}"
2024-03-15 12:35:00,,"{'1. open': '414.0000', '2. high': '414.4500', '3. low': '413.7300', '4. close': '414.2800', '5. volume': '200958'}"
2024-03-15 12:30:00,,"{'1. open': '414.0700', '2. high': '414.6600', '3. low': '413.8610', '4. close': '414.0000', '5. volume': '258540'}"
